,0
traffic,21.952212392170132
road,14.824569319295177
jam,14.576915272250796
india,11.862166659562723
chennai,11.463075054845527
congestion,11.410224175590013
delhi,10.859607591920229
gridlock,10.409726467007332
tax,6.345678933181927
police,5.972345792566231
city,5.269113945001757
roads,4.913514735332022
like,4.835058614724261
bengaluru,4.567139284096489
vehicles,4.185511776121457
people,4.138123072666409
hours,4.093044681262462
massive,3.9835633306132405
time,3.95996893859917
major,3.4761487446938566
